rno,level,lose,name,point,profileIconId,tier,win,summonerName
1,426,404,NULL,1600,3849,CHALLENGER,497,시간빠르다앙
2,157,500,NULL,1590,4781,CHALLENGER,666,xunxunxuno
3,336,415,NULL,1527,7,CHALLENGER,513,viper3
4,89,286,NULL,1512,4521,CHALLENGER,390,용호야
5,89,267,NULL,1482,4521,CHALLENGER,408,용호야
6,145,705,NULL,1445,4561,CHALLENGER,837,GenGKhael
7,103,786,NULL,1442,4795,CHALLENGER,856,T1제우스
8,44,381,NULL,1408,20,CHALLENGER,485,T1Zeuss
9,235,1465,NULL,1396,4585,CHALLENGER,1671,EDGZhaoQQ888765
10,273,633,NULL,1396,4568,CHALLENGER,728,스컬지
11,443,468,NULL,1389,982,CHALLENGER,550,SANDBOXCroco
12,2,341,NULL,1375,29,CHALLENGER,498,FPXzhaoAP4506303
13,512,1457,NULL,1368,4552,CHALLENGER,1539,BRB헤나
14,170,184,NULL,1366,1211,CHALLENGER,260,ADDonwin
15,345,252,NULL,1358,4659,CHALLENGER,337,쭌베
16,103,210,NULL,1357,4568,CHALLENGER,294,zzzusss
17,341,509,NULL,1345,4568,CHALLENGER,591,농심리치
18,135,530,NULL,1335,3459,CHALLENGER,688,T1Fisher
19,160,190,NULL,1334,4665,CHALLENGER,299,미친듯이파이팅
20,110,307,NULL,1322,4295,CHALLENGER,396,윤용호
21,262,471,NULL,1318,4690,CHALLENGER,557,FAMinit
22,184,1128,NULL,1289,4614,CHALLENGER,1225,asheadopen
23,194,212,NULL,1281,23,CHALLENGER,282,Pnpm
24,92,355,NULL,1272,4629,CHALLENGER,496,V5zhao107736014
25,242,356,NULL,1270,3788,CHALLENGER,429,나는준일하다
26,228,195,NULL,1256,3554,CHALLENGER,289,JUGKlNG
27,284,394,NULL,1253,1219,CHALLENGER,476,SANDBOXFATE
28,100,307,NULL,1245,3864,CHALLENGER,393,우제
29,115,506,NULL,1242,4026,CHALLENGER,638,MangoFish
30,295,608,NULL,1227,4803,CHALLENGER,673,UijU
31,74,185,NULL,1220,7,CHALLENGER,306,KTBonnie
32,189,1159,NULL,1214,4409,CHALLENGER,1283,EDGzhaoQX888765
33,324,753,NULL,1214,3951,CHALLENGER,808,SANDBOXOnFleek
34,88,287,NULL,1211,7,CHALLENGER,425,clearlove9fans
35,264,303,NULL,1203,8,CHALLENGER,339,버돌
36,196,404,NULL,1202,4491,CHALLENGER,485,srysmallChicken
37,83,269,NULL,1198,4690,CHALLENGER,350,DYNRlch
38,180,201,NULL,1193,6,CHALLENGER,261,PzZZang
39,329,639,NULL,1192,4561,CHALLENGER,675,GenGKaris
40,170,444,NULL,1187,4842,CHALLENGER,523,Bbvoy
41,306,277,NULL,1187,4568,CHALLENGER,365,deokdam
42,371,951,NULL,1185,588,CHALLENGER,1034,쪼렙이다말로하자
43,216,208,NULL,1182,977,CHALLENGER,278,오뚜기3분미트볼
44,322,598,NULL,1181,4778,CHALLENGER,663,BRB라바
45,485,856,NULL,1177,4817,CHALLENGER,936,T1Mirzz
46,140,330,NULL,1173,4568,CHALLENGER,400,FAzzuss
47,474,818,NULL,1168,3225,CHALLENGER,874,inohope
48,412,609,NULL,1168,4498,CHALLENGER,674,FARuby
49,185,630,NULL,1150,1626,CHALLENGER,703,River9
50,179,377,NULL,1150,4022,CHALLENGER,493,HuyaTvJincanyi
51,363,1023,NULL,1147,4787,CHALLENGER,1137,40900202
52,131,565,NULL,1136,23,CHALLENGER,710,KTVicLa
53,88,299,NULL,1133,4025,CHALLENGER,356,SANDBOXSumm1t
54,213,250,NULL,1133,4650,CHALLENGER,316,T1Ellim
55,254,1168,NULL,1127,3587,CHALLENGER,1337,T1Oner
56,196,1074,NULL,1127,3797,CHALLENGER,1243,fatsheep
57,329,569,NULL,1123,4626,CHALLENGER,608,단군의청춘부재
58,328,1496,NULL,1119,4755,CHALLENGER,1578,Juhana
59,265,683,NULL,1119,4781,CHALLENGER,740,파이팅인생
60,96,338,NULL,1119,4832,CHALLENGER,483,elole
61,199,396,NULL,1119,3859,CHALLENGER,464,T1Cuzz
62,88,352,NULL,1119,4786,CHALLENGER,413,Shiningfans
63,176,1049,NULL,1114,4568,CHALLENGER,1128,xlzyx
64,278,326,NULL,1114,3236,CHALLENGER,384,HLE모건
65,237,523,NULL,1112,4022,CHALLENGER,586,FAMia
66,222,737,NULL,1111,3582,CHALLENGER,886,DYNSSONG
67,172,497,NULL,1105,4559,CHALLENGER,559,매일배고프다
68,278,546,NULL,1101,3378,CHALLENGER,644,에르피디
69,280,1480,NULL,1097,4552,CHALLENGER,1565,GenGDice
