rno,level,lose,point,profileIconId,summonerName,tier,win
1,426,404,1600,3849,시간빠르다앙,CHALLENGER,497
2,157,500,1590,4781,xunxunxuno,CHALLENGER,666
3,336,415,1527,7,viper3,CHALLENGER,513
4,89,286,1512,4521,용호야,CHALLENGER,390
5,89,267,1482,4521,용호야,CHALLENGER,408
6,145,705,1445,4561,GenGKhael,CHALLENGER,837
7,103,786,1442,4795,T1제우스,CHALLENGER,856
8,44,381,1408,20,T1Zeuss,CHALLENGER,485
9,235,1465,1396,4585,EDGZhaoQQ888765,CHALLENGER,1671
10,273,633,1396,4568,스컬지,CHALLENGER,728
11,443,468,1389,982,SANDBOXCroco,CHALLENGER,550
12,2,341,1375,29,FPXzhaoAP4506303,CHALLENGER,498
13,512,1457,1368,4552,BRB헤나,CHALLENGER,1539
14,170,184,1366,1211,ADDonwin,CHALLENGER,260
15,345,252,1358,4659,쭌베,CHALLENGER,337
16,103,210,1357,4568,zzzusss,CHALLENGER,294
17,341,509,1345,4568,농심리치,CHALLENGER,591
18,135,530,1335,3459,T1Fisher,CHALLENGER,688
19,160,190,1334,4665,미친듯이파이팅,CHALLENGER,299
20,110,307,1322,4295,윤용호,CHALLENGER,396
21,262,471,1318,4690,FAMinit,CHALLENGER,557
22,184,1128,1289,4614,asheadopen,CHALLENGER,1225
23,194,212,1281,23,Pnpm,CHALLENGER,282
24,92,355,1272,4629,V5zhao107736014,CHALLENGER,496
25,242,356,1270,3788,나는준일하다,CHALLENGER,429
26,228,195,1256,3554,JUGKlNG,CHALLENGER,289
27,284,394,1253,1219,SANDBOXFATE,CHALLENGER,476
28,100,307,1245,3864,우제,CHALLENGER,393
29,115,506,1242,4026,MangoFish,CHALLENGER,638
30,295,608,1227,4803,UijU,CHALLENGER,673
31,74,185,1220,7,KTBonnie,CHALLENGER,306
32,189,1159,1214,4409,EDGzhaoQX888765,CHALLENGER,1283
33,324,753,1214,3951,SANDBOXOnFleek,CHALLENGER,808
34,88,287,1211,7,clearlove9fans,CHALLENGER,425
35,264,303,1203,8,버돌,CHALLENGER,339
36,196,404,1202,4491,srysmallChicken,CHALLENGER,485
37,83,269,1198,4690,DYNRlch,CHALLENGER,350
38,180,201,1193,6,PzZZang,CHALLENGER,261
39,329,639,1192,4561,GenGKaris,CHALLENGER,675
40,170,444,1187,4842,Bbvoy,CHALLENGER,523
41,306,277,1187,4568,deokdam,CHALLENGER,365
42,371,951,1185,588,쪼렙이다말로하자,CHALLENGER,1034
43,216,208,1182,977,오뚜기3분미트볼,CHALLENGER,278
44,322,598,1181,4778,BRB라바,CHALLENGER,663
45,485,856,1177,4817,T1Mirzz,CHALLENGER,936
46,140,330,1173,4568,FAzzuss,CHALLENGER,400
47,474,818,1168,3225,inohope,CHALLENGER,874
48,412,609,1168,4498,FARuby,CHALLENGER,674
49,185,630,1150,1626,River9,CHALLENGER,703
50,179,377,1150,4022,HuyaTvJincanyi,CHALLENGER,493
51,363,1023,1147,4787,40900202,CHALLENGER,1137
52,131,565,1136,23,KTVicLa,CHALLENGER,710
53,88,299,1133,4025,SANDBOXSumm1t,CHALLENGER,356
54,213,250,1133,4650,T1Ellim,CHALLENGER,316
55,254,1168,1127,3587,T1Oner,CHALLENGER,1337
56,196,1074,1127,3797,fatsheep,CHALLENGER,1243
57,329,569,1123,4626,단군의청춘부재,CHALLENGER,608
58,328,1496,1119,4755,Juhana,CHALLENGER,1578
59,265,683,1119,4781,파이팅인생,CHALLENGER,740
60,96,338,1119,4832,elole,CHALLENGER,483
61,199,396,1119,3859,T1Cuzz,CHALLENGER,464
62,88,352,1119,4786,Shiningfans,CHALLENGER,413
63,176,1049,1114,4568,xlzyx,CHALLENGER,1128
64,278,326,1114,3236,HLE모건,CHALLENGER,384
65,237,523,1112,4022,FAMia,CHALLENGER,586
66,222,737,1111,3582,DYNSSONG,CHALLENGER,886
67,172,497,1105,4559,매일배고프다,CHALLENGER,559
68,278,546,1101,3378,에르피디,CHALLENGER,644
69,280,1480,1097,4552,GenGDice,CHALLENGER,1565
